,State,Obama,McCain
0,MAGAZINES/NATIONAL,Black Enterprise  ,
1,MAGAZINES/NATIONAL,The Economist  ,Investors Business Daily  
2,MAGAZINES/NATIONAL,Esquire  ,
3,MAGAZINES/NATIONAL,The New Republic  ,
4,MAGAZINES/NATIONAL,The New Yorker  ,
5,MAGAZINES/NATIONAL,Poder  ,
6,MAGAZINES/NATIONAL,The Financial Times  ,
7,MAGAZINES/NATIONAL,Indian Country Today  ,
8,ALABAMA,Anniston Star,The Birmingham News  
9,ALABAMA,Daily Home Talladega Pell City Sylacauga  ,Dothan Eagle  
10,ALABAMA,Decatur Daily  ,The Gadsden Times
11,ALABAMA,Florence Times Daily  ,Mobile PressRegister  
12,ALABAMA,Montgomery Advertiser  ,OpelikaAuburn News  
13,ALABAMA,Selma TimesJournal  ,
14,ALABAMA,Tuscaloosa News  ,
15,ALASKA,Anchorage Daily News  ,Juneau Empire  
16,ARIZONA,Arizona Daily Star Tucson  ,Arizona Republic Phoenix  
17,ARIZONA,,Casa Grande Dispatch
18,ARIZONA,,Daily Courier Prescott  
19,ARKANSAS,Benton County Daily Record  ,Arkansas DemocratGazette Little Rock   
20,ARKANSAS,,Southwest TimesRecord Fort Smith  
21,CALIFORNIA,Contra Costa Times Bay Area News Group    ,Bakersfield Californian  
22,CALIFORNIA,Fresno Bee  ,Chico Enterprise Record
23,CALIFORNIA,LA Daily News Woodland Hills  ,Desert Sun Palm Springs  
24,CALIFORNIA,Los Angeles Times  ,Eureka Reporter
25,CALIFORNIA,La Opinión Los Angeles  ,Napa Valley Register  
26,CALIFORNIA,Monterey County Herald  ,North County Times Escondido
27,CALIFORNIA,Pasadena StarNews  ,PressEnterprise Riverside   
28,CALIFORNIA,Sacramento Bee  ,Ridgecrest Daily Independent
29,CALIFORNIA,San Francisco Chronicle  ,San Diego UnionTribune  
30,CALIFORNIA,San Jose Mercury News  ,San Francisco Examiner  
31,CALIFORNIA,Santa Cruz Journal  ,Vallejo Times Herald
32,CALIFORNIA,The Record Stockton  ,
33,CALIFORNIA,Today   ,
34,COLORADO,Aspen Daily News  ,Daily Sentinel Grand Junction  
35,COLORADO,Daily Camera Boulder  ,Longmont TimesCall   
36,COLORADO,Cortez Journal  ,Pueblo Chieftain  
37,COLORADO,Denver Post  ,
38,COLORADO,Durango Herald  ,
39,COLORADO,Coloradoan Fort Collins  ,
40,COLORADO,Vail Daily  ,
41,CONNECTICUT,The Day New London,Connecticut Post
42,CONNECTICUT,Hartford Courant  ,Greenwich Time
43,CONNECTICUT,New Haven Register  ,Stamford Advocate
44,CONNECTICUT,Norwich Bulletin,Torrington RegisterCitizen
45,DELAWARE,News Journal  ,
46,DISTRICT OF COLUMBIA,Washington Post  ,Examiner     same as San Francisco Examiner
47,DISTRICT OF COLUMBIA,,Washington Times  
48,FLORIDA,Daytona Beach NewsJournal  ,Bradenton Herald
49,FLORIDA,Florida Today Brevard County  ,Cape Coral Daily Breeze
50,FLORIDA,Gainesville Sun  ,Palatka Daily News
51,FLORIDA,Lakeland Ledger  ,Tampa Tribune  
52,FLORIDA,Miami Herald  ,Winter Haven News Chief
53,FLORIDA,Naples Daily News  ,
54,FLORIDA,Orlando Sentinel  ,
55,FLORIDA,Palm Beach Post  ,
56,FLORIDA,Pensacola News Journal  ,
57,FLORIDA,Sarasota HeraldTribune  ,
58,FLORIDA,South Florida SunSentinel Fort Lauderdale  ,
59,FLORIDA,St Petersburg Times  ,
60,GEORGIA,Atlanta JournalConstitution  ,The Albany Herald  
61,GEORGIA,Columbus LedgerEnquirer  ,Augusta Chronicle
62,GEORGIA,Macon Telegraph,Marietta Daily Journal  
63,GEORGIA,,Savannah Morning News  
64,GEORGIA,,Thomasville Times Enterprise
