,docId,subject,relation,object
0,4TS7-8D50-TX12-N155-00000-00.txt,County,is in,Madison
1,4TS7-8D50-TX12-N155-00000-00.txt,Al Suguitan,president of,Greater Gateway Association of Realtors.He
2,4TS7-8D50-TX12-N155-00000-00.txt,people,are,are more cautious about possibilities
3,4TS7-8D50-TX12-N155-00000-00.txt,people,are,are more cautious
4,4TS7-8D50-TX12-N155-00000-00.txt,people,are,are cautious about possibilities
5,4TS7-8D50-TX12-N155-00000-00.txt,people,are,are cautious
6,4TS7-8D50-TX12-N155-00000-00.txt,They,'re also paying attention to,upcoming election
7,4TS7-8D50-TX12-N155-00000-00.txt,They,'re paying,attention
8,4TS7-8D50-TX12-N155-00000-00.txt,They,'re also paying attention to,election
9,4TS7-8D50-TX12-N155-00000-00.txt,They,looking forward as,savior
10,4TS7-8D50-TX12-N155-00000-00.txt,They,looking as,savior
11,4TS7-8D50-TX12-N155-00000-00.txt,They,'re also paying,attention
12,4TS7-8D50-TX12-N155-00000-00.txt,They,looking to,president
13,4TS7-8D50-TX12-N155-00000-00.txt,They,looking to,new president
14,4TS7-8D50-TX12-N155-00000-00.txt,They,'re paying attention to,upcoming election
15,4TS7-8D50-TX12-N155-00000-00.txt,They,looking forward to,new president
16,4TS7-8D50-TX12-N155-00000-00.txt,They,looking forward to,president
17,4TS7-8D50-TX12-N155-00000-00.txt,They,'re paying attention to,election
18,4TS7-8D50-TX12-N155-00000-00.txt,people,become,fatigued with discussion
19,4TS7-8D50-TX12-N155-00000-00.txt,I,think in,time
20,4TS7-8D50-TX12-N155-00000-00.txt,people,become,fatigued
21,4TS7-8D50-TX12-N155-00000-00.txt,I,think at,point
22,4TS7-8D50-TX12-N155-00000-00.txt,they hear,is,news
23,4TS7-8D50-TX12-N155-00000-00.txt,they,'re wanting,buy
24,4TS7-8D50-TX12-N155-00000-00.txt,they,hear,If they 're wanting
25,4TS7-8D50-TX12-N155-00000-00.txt,they,'re wanting,to buy
26,4TS7-8D50-TX12-N155-00000-00.txt,they hear,is,negative news
27,4TS7-8D50-TX12-N155-00000-00.txt,they,hear,they 're wanting
28,4TS7-8D50-TX12-N155-00000-00.txt,County,is in,Madison
29,4TS7-8D50-TX12-N155-00000-00.txt,same time frame,is in,2007
30,4TS7-8D50-TX12-N155-00000-00.txt,"2,765 sales",were In,same time frame in 2007
31,4TS7-8D50-TX12-N155-00000-00.txt,"2,765 sales",were In,time frame
32,4TS7-8D50-TX12-N155-00000-00.txt,"2,765 sales",were In,time frame in 2007
33,4TS7-8D50-TX12-N155-00000-00.txt,"2,765 sales",were In,same time frame
34,4TS7-8D50-TX12-N155-00000-00.txt,foreclosures,have risen At,same time
35,4TS7-8D50-TX12-N155-00000-00.txt,foreclosures,have risen At,time
36,4TS7-8D50-TX12-N155-00000-00.txt,total number,is in,2007
37,4TS7-8D50-TX12-N155-00000-00.txt,number,"was approximately 1,155 According",Madison County Circuit Clerk 's Web site
38,4TS7-8D50-TX12-N155-00000-00.txt,total number,"was approximately 1,155 According",Madison County Circuit Clerk 's Web site
39,4TS7-8D50-TX12-N155-00000-00.txt,Madison County Circuit Clerk,According,Web site
40,4TS7-8D50-TX12-N155-00000-00.txt,number,has matched that.Liberty Bank President Dale Blachford At,point
41,4TS7-8D50-TX12-N155-00000-00.txt,they,seen,foreclosures
42,4TS7-8D50-TX12-N155-00000-00.txt,point,is in,2008
43,4TS7-8D50-TX12-N155-00000-00.txt,number,already has matched that.Liberty Bank President Dale Blachford At,point in 2008
44,4TS7-8D50-TX12-N155-00000-00.txt,Dale Blachford,is,President
45,4TS7-8D50-TX12-N155-00000-00.txt,they,seen,more foreclosures
46,4TS7-8D50-TX12-N155-00000-00.txt,number,has matched,that.Liberty Bank President Dale Blachford
47,4TS7-8D50-TX12-N155-00000-00.txt,number,already has matched that.Liberty Bank President Dale Blachford At,point
48,4TS7-8D50-TX12-N155-00000-00.txt,they,seen recently,more foreclosures
49,4TS7-8D50-TX12-N155-00000-00.txt,number,has matched that.Liberty Bank President Dale Blachford At,point in 2008
50,4TS7-8D50-TX12-N155-00000-00.txt,they,seen recently,foreclosures
51,4TS7-8D50-TX12-N155-00000-00.txt,number,already has matched,that.Liberty Bank President Dale Blachford
52,4TS7-8D50-TX12-N155-00000-00.txt,there has much interest,is in,properties
53,4TS7-8D50-TX12-N155-00000-00.txt,It,'s great,buying
54,4TS7-8D50-TX12-N155-00000-00.txt,August,months of,year
55,4TS7-8D50-TX12-N155-00000-00.txt,his shadow,foresees at_time,winter
56,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were better as,would Suguitan said.In August
57,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,as to would Suguitan said.In August better
58,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,as would Suguitan said.In August better like groundhog
59,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were,better
60,4TS7-8D50-TX12-N155-00000-00.txt,housing market,be in,back hole for at least another six months
61,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were,as to would Suguitan said.In August better like groundhog
62,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,as to would Suguitan said.In August better like groundhog
63,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were better like,groundhog
64,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,as would Suguitan said.In August better
65,4TS7-8D50-TX12-N155-00000-00.txt,fall,be,indicator
66,4TS7-8D50-TX12-N155-00000-00.txt,housing market,be in,hole for at least another six months
67,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were,as would Suguitan said.In August better like groundhog
68,4TS7-8D50-TX12-N155-00000-00.txt,fall,be key,better
69,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,better like groundhog
70,4TS7-8D50-TX12-N155-00000-00.txt,housing market,be in,hole
71,4TS7-8D50-TX12-N155-00000-00.txt,they,been in,June
72,4TS7-8D50-TX12-N155-00000-00.txt,fall,be indicator,better
73,4TS7-8D50-TX12-N155-00000-00.txt,housing market,be in,back hole
74,4TS7-8D50-TX12-N155-00000-00.txt,his shadow,foresees at_time,longer winter
75,4TS7-8D50-TX12-N155-00000-00.txt,numbers,were better as,to would Suguitan said.In August
76,4TS7-8D50-TX12-N155-00000-00.txt,market,see,end
77,4TS7-8D50-TX12-N155-00000-00.txt,market,see,end of tunnel
78,4TS7-8D50-TX12-N155-00000-00.txt,spring,be,great
79,4TS7-8D50-TX12-N155-00000-00.txt,he,remains,hopeful
80,4TS7-8D50-TX12-N155-00000-00.txt,market,is going,recover
81,4TS7-8D50-TX12-N155-00000-00.txt,market,is going,to recover
82,4TS7-8D50-TX12-N155-00000-00.txt,person,buy,their home
83,4TS7-8D50-TX12-N155-00000-00.txt,people,talk with,someone
84,4TS7-8D50-TX12-N155-00000-00.txt,it,has,important
85,4TS7-8D50-TX12-N155-00000-00.txt,It,used,were breathing
86,4TS7-8D50-TX12-N155-00000-00.txt,It,used,to were breathing
87,4TS7-8D50-TX12-N155-00000-00.txt,It,used,if were breathing
