docId,subject,verb,object
7X58-6750-Y9NW-H564-00000-00.txt,"[Prime, Outlets]",[started],"[opening, at, midnight, on, Thanksgiving, four, years, ago]"
7X58-6750-Y9NW-H564-00000-00.txt,"[Sears, JCPenney]","[will, throw]",[doors]
7X58-6750-Y9NW-H564-00000-00.txt,"[Disney, Stores, Toys]",[pushed],"[morning, openings]"
7X58-6750-Y9NW-H564-00000-00.txt,"[Toys, Us]","[will, stage]",[events]
7X58-6750-Y9NW-H564-00000-00.txt,[shoppers],[use],"[Friday, pricing]"
7X58-6750-Y9NW-H564-00000-00.txt,[Retailers],[call],"[\""creating]"
7X58-6750-Y9NW-H564-00000-00.txt,[they],[need],[hoopla]
7X58-6750-Y9NW-H564-00000-00.txt,[which],[drew],[shoppers]
7X58-6750-Y9NW-H564-00000-00.txt,"[director, Sara, Ozgun]",[advised],"[how, to, be, one, of, the, first, 500, shoppers, who, show, up, in, pajamas, and, slippers, to, win, a, goody, bag, of, coupons, ,, a, Jockey, nightshirt, and, one, of, five]"
7X58-6750-Y9NW-H564-00000-00.txt,[you],[had],"[to, be, here, by, 10, p.m.]"
7X58-6750-Y9NW-H564-00000-00.txt,[we],[get],[lull]
7X58-6750-Y9NW-H564-00000-00.txt,"[holiday, debacle]",[included],"[percent, sales, decline]"
7X58-6750-Y9NW-H564-00000-00.txt,[Consumers],"[may, spend]","[spending, down]"
7X58-6750-Y9NW-H564-00000-00.txt,[unemployment],"[will, keep]","[spending, down]"
7X58-6750-Y9NW-H564-00000-00.txt,[that],[propel],"[growth.\""I]"
7X58-6750-Y9NW-H564-00000-00.txt,[who],[monitors],[chains]
7X58-6750-Y9NW-H564-00000-00.txt,"[merchandise, sales]","[will, get]",[lift]
7X58-6750-Y9NW-H564-00000-00.txt,[They],[plan],[series]
7X58-6750-Y9NW-H564-00000-00.txt,[what],[promises],"[to, be, the, biggest, sales, day, of, the, year]"
7X58-6750-Y9NW-H564-00000-00.txt,[Malls],[filled],[spaces]
7X58-6750-Y9NW-H564-00000-00.txt,"[Countryside, mall]",[timed],[completion]
7X58-6750-Y9NW-H564-00000-00.txt,[that],[post],"[Friday, ads]"
7X58-6750-Y9NW-H564-00000-00.txt,[prices],[vary],[market]
7X58-6750-Y9NW-H564-00000-00.txt,"[Web, publishers]",[swipe],[ads]
7X58-6750-Y9NW-H564-00000-00.txt,[stores],"[have, been, confirming]",[deals]
7X58-6750-Y9NW-H564-00000-00.txt,[they],[hold],[offers]
7X58-6750-Y9NW-H564-00000-00.txt,[stores],"[are, starting]","[to, embrace, us, by, confirming, their, leaked, ads,\]"
7X58-6750-Y9NW-H564-00000-00.txt,"[\""Walmart]",[confirmed],[ads]
7X58-6750-Y9NW-H564-00000-00.txt,[early?Kids],[outerwear],[percent]
7X58-6750-Y9NW-H564-00000-00.txt,"[80,000Shoppers]",[expected],"[to, mob, each, of, the, Tampa, Bay, area, 's, six, big, malls, on, Black, Friday.64%Shoppers, who, have, yet, to, start, holiday]"
7X58-6750-Y9NW-H564-00000-00.txt,[who],[have],"[to, start, holiday]"
7X58-6750-Y9NW-H564-00000-00.txt,"[consumer, plans, stores]","[are, scheduled]","[to, open, at, 4, a.m., on, Black, Friday]"
7X58-6750-Y9NW-H564-00000-00.txt,[graphic],[listed],[time]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[news],"[has, shrunk]",[pool]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[fair],[offered],[chance]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[news],[deter],[job]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[I],[have],"[to, compete, with,\]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[he],"[have, found]",[variety]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[office],[had],[booth]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[who],[staffed],[station]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[office],"[has, scheduled]","[fitness, test]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[department],[wanted],"[to, take, advantage, of, the, large, pool, of, job, seekers, at, the, fair.\""We]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[we],[wanted],"[before,\]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[Howell],[began],"[planning, the, job, fair, in, the, spring, uncertain, how, much, interest, area, employers, had, in, holding, it]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,"[\""It]","[might, be, doing]",[something]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,"[\""It]",[are],"[something, space]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[which],"[is, building]","[technology, center]"
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,"[\""It]",[had],[space]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[which],[underwent],[expansion]
7WW5-NCN0-Y9J0-Y4J3-00000-00.txt,[Sesterhenn],[directed],[applicants]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[University],"[will, keep]","[analysis, procedure]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[that],"[have, slashed]","[equity, values]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[She],[cited],[practices]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[that],"[have, taken]",[schools]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[families],[relied],[practice]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,"[aid, awards]","[have, taken]",[practice]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,"[asking, for, parental, contributions, based, on, home, equity]",[put],"[income, homeowners]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[250],[require],[applicants]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[This],"[has, caused]",[problems]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[which],"[have, viewed]","[home, equity]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[we],"['ve, reviewed]","[home, equity]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[Reyes],[noted],[changes]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[We],[have],[families]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,"[mortgage, balance]",[exceeds],[value]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[who],[bought],[homes]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[It],[seems],"[to, be, most, common, in, the, areas, where, home, values, have, dropped, significantly, ,, like, California, ,, Florida, ,, New, Mexico, ,, and, Arizona]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[College],"[has, had]","[to, place, a, cap, on, the, amount, parents, can, contribute, from, home, equity, due, to, widespread, unemployment, and, underemployment, of, applicants, ', parents]"
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[she],[sees],[need]
7VH9-PTG1-2PMW-Y0D1-00000-00.txt,[we],"[Have, changed]",[policy]
7Y85-PKR0-YBKJ-B2B9-00000-00.txt,"[effort, support, parent, bank, engagement]","[has, helped]","[stabilize, the, economies, in, the, economies, in, the, region]"
7Y85-PKR0-YBKJ-B2B9-00000-00.txt,[it],[faces],[challenges]
7Y85-PKR0-YBKJ-B2B9-00000-00.txt,[recovery],"[is, supported]",[supply]
4TXK-W200-TX2G-G11P-00000-00.txt,"[Aldabra, 2, Acquisition, Corp.]",[paid],"[1.63, billion]"
4TXK-W200-TX2G-G11P-00000-00.txt,"[Boise, Inc.now]",[has],"[calendar, days]"
4TXK-W200-TX2G-G11P-00000-00.txt,[exchange],[rejects],[plan]
4TXK-W200-TX2G-G11P-00000-00.txt,"[ , Boise]","[must, bring]","[share, price, share, price]"
4TXK-W200-TX2G-G11P-00000-00.txt,"[stock, price]","[has, been, pressured]","[market, downturn]"
4TXK-W200-TX2G-G11P-00000-00.txt,[that],"[is, impacting]","[companies, stocks]"
4TXK-W200-TX2G-G11P-00000-00.txt,[we],"[are, disappointed]",[notification]
4TXK-W200-TX2G-G11P-00000-00.txt,[we],"[are, taking]",[steps]
4TXK-W200-TX2G-G11P-00000-00.txt,[We],"[are, encouraged]","[results, progress]"
4TXK-W200-TX2G-G11P-00000-00.txt,[we],"[have, made]","[to, make, in, improving, our, operating, and, financial, performance]"
4TXK-W200-TX2G-G11P-00000-00.txt,[we],[continue],"[to, make, in, improving, our, operating, and, financial, performance]"
4TXK-W200-TX2G-G11P-00000-00.txt,[it],"[will, need]","[to, maintain, its, reporting, obligations, to, the, (, Securities, and, Exchange, Commission, )]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[you],"[would, hold]",[convention]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[Detroit],"[is, taking]","[meeting, business]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Las, Vegas]","[has, felt]",[pinch]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Las, Vegas]",[had],"[meeting, cancellations]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[States, Travel, Association]",[released],[study]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[that],[established],[link]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[meeting, convention, industry]","[must, combat]","[convention, perception]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[Burton],[launched],"[Nevada, Gaming]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[which],[helps],"[meeting, planners, and]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[sales, departments]",[devise],"[relations, strategies]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[groups],[want],"[to, help, a, community, hit, by, an, unfortunate, circumstance]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Starbucks, Corp.]",[held],[meeting]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[community, groups]","[would, welcome]",[help]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Iowa, group]","[could, throw]",[wrench]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Clarke, County, Development, Corp.]",[filed],[objections]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[which],[holds],"[casino, license]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[lenders],"[to, take]",[control]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[Herbst],[pays],"[group, 1, million]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[Reno, attorney]",[told],"[Moines, Register]"
7WR4-6G21-2R2Y-73JC-00000-00.txt,[column],[appears],[Sundays]
7WR4-6G21-2R2Y-73JC-00000-00.txt,"[E, -]",[mail],[him]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[He],[blogs],[more]
7WR4-6G21-2R2Y-73JC-00000-00.txt,[He],[see],[more]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[stories],"[are, taking]",[shape]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[year],[gives],[chance]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,"[Performance, stories]",[rule],[day]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[it],"[will, be]",[day]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[that],"[could, capture]",[headlines]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,"[fund, investors]",[accepting],[losses]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[yields],"[ca, n't, keep]",[pace]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,"[term, bond, funds]","[are, guaranteed]","[to, lose, money, ,, at, which, point, individual, investors, should, be, abandoning, their, short, -, duration, bond, funds, (, in, favor, of, buying, Treasuries, directly, and, avoiding, the, expense, ratio, ,, or, for, high, -, yielding, bank, accounts).That, exodus]"
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[investors],"[should, be, abandoning]","[duration, bond, funds]"
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[Congress],[reconsidering],"[date, funds]"
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,"[Protection, Act]","[was, passed]",[Congress]
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[employers],"[to, offer]","[date, funds]"
4VB1-H3G0-TWJ8-K1JG-00000-00.txt,[funds],[offered],[kind]
