Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9,Topic.10,Topic.11,Topic.12,Topic.13,Topic.14,Topic.15
said,hous,home,percent,$,bank,market,global,percent,said,$,one,said,job,loan
peopl,obama,hous,price,tax,financi,invest,countri,amp,sale,compani,now,c,percent,mortgag
work,said,said,economi,state,govern,fund,u.,stock,year,million,go,busi,unemploy,credit
busi,bill,market,rate,will,regul,investor,econom,market,retail,billion,time,distribut,rate,borrow
can,presid,year,year,budget,feder,bond,world,index,store,quarter,say,mcclatchy-tribun,state,lender
help,plan,price,economist,million,institut,manag,economi,s,will,year,like,news,employ,rate
get,congress,sale,recess,cut,said,stock,will,point,busi,share,can,go,month,foreclosur
need,administr,real,consum,citi,system,will,dollar,fell,compani,said,get,see,year,home
famili,senat,estat,econom,year,treasuri,rate,unit,close,industri,profit,money,call,worker,payment
year,democrat,percent,month,said,fed,said,govern,trade,custom,per,just,servic,number,hous
time,stimulus,properti,will,project,crisi,secur,crisi,rose,car,earn,peopl,inform,nation,interest
univers,econom,$,expect,fund,capit,firm,market,report,new,report,even,group,last,lend
make,packag,new,growth,increas,mr,capit,bank,apo,last,analyst,think,send,recess,subprim
go,bush,build,spend,spend,billion,financi,financi,week,shop,loss,thing,write,report,card
student,govern,counti,rise,money,asset,credit,intern,gain,auto,expect,much,inc,labor,make
